Date;PhaseName;Rank;Medal;Person/Team;Country; ;Age (days);Result
01-ago-2012;Judo 90kg Men - Olympic Games 2012;5;;Tiago Camilo (BRA, 24 May 1982);Brazil;;30-069;
01-ago-2012;Shooting 25m Pistol Women - Olympic Games 2012;39;;Ana Luiza Souza Lima (BRA, 26 Dec 1973);Brazil;;38-219;560,00
01-ago-2012;Swimming 100m Freestyle Men - Olympic Games 2012;6;;Cesar Cielo (BRA, 10 Jan 1987);Brazil;;25-204;47,92
01-ago-2012;Swimming 100m Freestyle Men - Olympic Games 2012;24;;Nicolas Oliveira (BRA, 04 Aug 1987);Brazil;;24-363;49,51
01-ago-2012;Swimming 200m Breaststroke Men - Olympic Games 2012;9;;Tales Cerdeira (BRA, 21 Jan 1987);Brazil;;25-193;2:09.77
01-ago-2012;Swimming 200m Breaststroke Men - Olympic Games 2012;19;;Henrique Barbosa (BRA, 05 Jul 1984);Brazil;;28-027;2:12.05
01-ago-2012;Swimming 200m Butterfly Women - Olympic Games 2012;26;;Joanna Maranhão (BRA, 29 Apr 1987);Brazil;;25-094;2:13.17
01-ago-2012;Table Tennis Singles Women - Olympic Games 2012;49;;Ligia Silva (BRA, 06 Mar 1981);Brazil;;31-148;
01-ago-2012;Table Tennis Singles Women - Olympic Games 2012;49;;Caroline Kumahara (BRA, 27 Jul 1995);Brazil;;17-005;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;42;;Fonseca (Tom Bombadill Too);Brazil;;39-052;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;44;;Tosi (Eleda All Black);Brazil;;42-352;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;46;;Carvalho Jorge (Josephine MCJ);Brazil;;37-185;
31-jul-2012;Equestrian - Eventing Individual Open - Olympic Games 2012;EL;;Fofanoff (Barbara TW);Brazil;;;
31-jul-2012;Equestrian - Eventing Team Open - Olympic Games 2012;9;;Brazil;Brazil;;40-297;295,20
31-jul-2012;Fencing Individual Foil Men - Olympic Games 2012;32;;Guilherme Toldo (BRA, 01 Sep 1992);Brazil;;19-334;
31-jul-2012;Gymnastics - Artistic Team Women - Olympic Games 2012;12;;Brazil;Brazil;;22-293;161,30
31-jul-2012;Judo 63kg Women - Olympic Games 2012;17;;Mariana Silva (BRA, 22 Feb 1990);Brazil;;22-160;
31-jul-2012;Judo 81kg Men - Olympic Games 2012;7;;Leandro Guilheiro (BRA, 07 Aug 1983);Brazil;;28-359;
31-jul-2012;Swimming 200m Butterfly Men - Olympic Games 2012;17;;Kaio Almeida (BRA, 19 Oct 1984);Brazil;;27-286;1:56.99
31-jul-2012;Swimming 200m Butterfly Men - Olympic Games 2012;21;;Leonardo de Deus (BRA, 18 Jan 1991);Brazil;;21-195;1:58.03
31-jul-2012;Swimming 200m Individual Medley Women - Olympic Games 2012;15;;Joanna Maranhão (BRA, 29 Apr 1987);Brazil;;25-093;2:14.74
30-jul-2012;Judo 57kg Women - Olympic Games 2012;9;;Rafaela Silva (BRA, 24 Apr 1992);Brazil;;20-097;
30-jul-2012;Judo 73kg Men - Olympic Games 2012;9;;Bruno Mendonca (BRA, 04 Apr 1985);Brazil;;27-117;
30-jul-2012;Swimming 100m Backstroke Men - Olympic Games 2012;28;;Daniel Orzechowski (BRA, 01 Jun 1985);Brazil;;27-059;55,16
30-jul-2012;Swimming 100m Backstroke Women - Olympic Games 2012;24;;Fabiola Molina (BRA, 22 May 1975);Brazil;;37-069;1:01.40
29-jul-2012;Cycling - Road Road race Women - Olympic Games 2012;23;;Clemilda Fernandes (BRA, 25 Jun 1979);Brazil;;33-034;3:35:56
29-jul-2012;Cycling - Road Road race Women - Olympic Games 2012;DNF;;Janildes Fernandes (BRA, 23 Aug 1980);Brazil;;31-341;
29-jul-2012;Cycling - Road Road race Women - Olympic Games 2012;OTL;;Fernanda Souza (BRA, 15 Nov 1981);Brazil;;30-257;3:50:50
29-jul-2012;Fencing Individual Sabre Men - Olympic Games 2012;22;;Renzo Agresta (BRA, 27 Jun 1985);Brazil;;27-032;
29-jul-2012;Judo 52kg Women - Olympic Games 2012;9;;Érika Miranda (BRA, 04 Jun 1987);Brazil;;25-055;
29-jul-2012;Judo 66kg Men - Olympic Games 2012;17;;Leandro Cunha (BRA, 13 Oct 1980);Brazil;;31-290;
29-jul-2012;Shooting 10m Air Pistol Women - Olympic Games 2012;43;;Ana Luiza Souza Lima (BRA, 26 Dec 1973);Brazil;;38-216;367,00
29-jul-2012;Swimming 4 x 100m Freestyle Relay Men - Olympic Games 2012;9;;Brazil;Brazil;;25-188;3:16.14
29-jul-2012;Swimming 100m Breaststroke Men - Olympic Games 2012;12;;Felipe França (BRA, 14 May 1987);Brazil;;25-076;1:00.01
29-jul-2012;Swimming 100m Breaststroke Men - Olympic Games 2012;13;;Felipe Lima (BRA, 05 Apr 1985);Brazil;;27-115;1:00.08
29-jul-2012;Swimming 100m Butterfly Women - Olympic Games 2012;33;;Dainara de Paula (BRA, 25 Jul 1989);Brazil;;23-004;1:00.14
28-jul-2012;Cycling - Road Road race Men - Olympic Games 2012;32;;Murilo Fischer (BRA, 16 Jun 1979);Brazil;;33-042;5:46:37
28-jul-2012;Cycling - Road Road race Men - Olympic Games 2012;DNF;;Magno Nazaret (BRA, 17 Jan 1986);Brazil;;26-193;
28-jul-2012;Cycling - Road Road race Men - Olympic Games 2012;DNF;;Gregory Panizo (BRA, 12 May 1985);Brazil;;27-077;
28-jul-2012;Judo 48kg Women - Olympic Games 2012;1;G;Sarah Menezes (BRA, 26 Mar 1990);Brazil;;22-124;
28-jul-2012;Judo 60kg Men - Olympic Games 2012;3;B;Felipe Kitadai (BRA, 28 Jul 1989);Brazil;;23-000;
28-jul-2012;Swimming 400m Individual Medley Men - Olympic Games 2012;2;S;Thiago Pereira (BRA, 26 Jan 1986);Brazil;;26-184;4:08.86
28-jul-2012;Swimming 400m Individual Medley Women - Olympic Games 2012;DNS;;Joanna Maranhão (BRA, 29 Apr 1987);Brazil;;25-090;
;;;;;;;;
Selection Status:;;;;;;;;
Year: 2012;;;;;;;;
Country: Brazil;;;;;;;;
CompetitionSet: Summer Games;;;;;;;;
